
************************************************************************************************************************************************
Start to print log. Process ID[4292]
Time                    | L | Thread       | Module  | Source File:Line:Function                                          | Content
2016/05/04 11:00:11.551 | E | Thread:6456  | Client  | av_context_impl.cpp:141:tencent::av::AVContextImpl::AVContextImpl  | Server Environment Type = Publish Env.
2016/05/04 11:00:11.551 | E | Thread:6456  | Client  | av_context_impl.cpp:144:tencent::av::AVContextImpl::AVContextImpl  | SDK Version = 1.7.0.2016031516.
2016/05/04 11:00:11.551 | E | Thread:6456  | Client  | av_context_impl.cpp:166:tencent::av::AVContextImpl::AVContextImpl  | CreateContext. sdk_app_id = 1400007961, account_type = 4000, app_id_at3rd = 1400007961, identifier = lx.
2016/05/04 11:00:11.551 | I | Thread:6456  | Client  | av_context_impl.cpp:393:tencent::av::AVContextImpl::StartContext   | ******StartContext. start_complete_callback = 00D96378, custom_data = 0037F304.
2016/05/04 11:00:11.551 | E | Thread:6456  | Client  | av_context_impl.cpp:396:tencent::av::AVContextImpl::StartContext   | Platform: Windows.
2016/05/04 11:00:11.551 | E | Thread:6456  | Client  | av_context_impl.cpp:432:tencent::av::AVContextImpl::StartContext   | THREAD. Create Main Thread. Main Thread Id = 6456.
2016/05/04 11:00:11.551 | I | Thread:6456  | Client  | av_context_impl.cpp:451:tencent::av::AVContextImpl::StartContext   | ******StartContexting...
2016/05/04 11:00:11.597 | E | Thread:6456  | Client  | av_context_impl.cpp:664:IMChannelInitComplete                      | IMChannelInitComplete. errCode=0, desc=
2016/05/04 11:00:11.613 | E | AVControlCon | Client  | av_context_impl.cpp:1386:OnReadComplete                            | control_config_ OnReadComplete
2016/05/04 11:00:11.613 | E | AVControlCon | Client  | av_avcontrol_config.cpp:324:AsyncUpdate                            | http://conf.voice.qcloud.com/index.php?sdk_appid=1400007961&sdk_version=115&interface=Voice_Conf_Download&last_update_sequence=2&platform=0
2016/05/04 11:00:11.613 | E | Thread:6456  | Client  | av_context_impl.cpp:458:OnStartContextComplete                     | ******OnStartContextComplete. ret_code = 0.
2016/05/04 11:00:11.613 | E | Thread:6456  | Client  | av_context_impl.cpp:987:tencent::av::AVContextImpl::InitAVCtrl     | InitAVCtrl
2016/05/04 11:00:11.613 | E | Thread:6456  | Client  | av_audio_ctrl_impl.cpp:42:AVAudioCtrlImpl                          | AVAudioCtrlImpl::AVAudioCtrlImpl
2016/05/04 11:00:11.613 | E | Thread:6456  | Client  | av_video_ctrl_impl.cpp:53:AVVideoCtrlImpl                          | AVVideoCtrlImpl::AVVideoCtrlImpl
2016/05/04 11:00:11.613 | I | Thread:6456  | Client  | av_context_impl.cpp:483:OnStartContextComplete                     | ******StartContext OK.
2016/05/04 11:00:12.284 | E | AVControlCon | Client  | av_avcontrol_config.cpp:414:OnDownloadComplete                     | OnDownloadComplete succ
2016/05/04 11:00:12.284 | E | AVControlCon | Client  | av_context_impl.cpp:1459:tencent::av::AVContextImpl::OnUpdateError | control_config_ OnUpdateError
2016/05/04 11:00:13.984 | I | Thread:6456  | Client  | av_context_impl.cpp:750:tencent::av::AVContextImpl::EnterRoom      | ******EnterRoom. room_delegate = 0037F304, param = 0037B954.
2016/05/04 11:00:14.000 | E | Thread:6456  | Client  | av_context_impl.cpp:827:tencent::av::AVContextImpl::EnterRoom      | PrepareEncParam tagAudCategory:0
2016/05/04 11:00:14.000 | E | Thread:6456  | Client  | av_context_impl.cpp:836:tencent::av::AVContextImpl::EnterRoom      | ******EnterRoom. room_delegate = 0037F304, room type = 2, room id = 0, relation type = 6, relation id = 100011, peer_identifier = , mode = 1, auth_bits = ffffffffffffffff, auth_buffer = , auth_buffer_len = 0, audio_category = 0, av_control_role = , auto_create_room = 1.
2016/05/04 11:00:14.234 | E | Thread:6456  | Client  | av_context_impl.cpp:1828:AppEnterRoomCompelete                     | roomSvrCount=8
2016/05/04 11:00:14.234 | E | Thread:6456  | Client  | av_context_impl.cpp:1836:AppEnterRoomCompelete                     | int_server_info. i = 1, ip = 125.39.52.160, port = 8000, is tcp = 0
2016/05/04 11:00:14.234 | E | Thread:6456  | Client  | av_context_impl.cpp:1836:AppEnterRoomCompelete                     | int_server_info. i = 2, ip = 125.39.52.160, port = 443, is tcp = 1
2016/05/04 11:00:14.234 | E | Thread:6456  | Client  | av_context_impl.cpp:1836:AppEnterRoomCompelete                     | int_server_info. i = 3, ip = 125.39.52.162, port = 8000, is tcp = 0
2016/05/04 11:00:14.234 | E | Thread:6456  | Client  | av_context_impl.cpp:1836:AppEnterRoomCompelete                     | int_server_info. i = 4, ip = 125.39.52.162, port = 443, is tcp = 1
2016/05/04 11:00:14.234 | E | Thread:6456  | Client  | av_context_impl.cpp:1836:AppEnterRoomCompelete                     | int_server_info. i = 5, ip = 125.39.52.158, port = 8000, is tcp = 0
2016/05/04 11:00:14.234 | E | Thread:6456  | Client  | av_context_impl.cpp:1836:AppEnterRoomCompelete                     | int_server_info. i = 6, ip = 125.39.52.158, port = 443, is tcp = 1
2016/05/04 11:00:14.234 | E | Thread:6456  | Client  | av_context_impl.cpp:1836:AppEnterRoomCompelete                     | int_server_info. i = 7, ip = 125.39.52.161, port = 8000, is tcp = 0
2016/05/04 11:00:14.234 | E | Thread:6456  | Client  | av_context_impl.cpp:1836:AppEnterRoomCompelete                     | int_server_info. i = 8, ip = 125.39.52.161, port = 443, is tcp = 1
2016/05/04 11:00:14.234 | E | Thread:6456  | Client  | av_room_multi_impl.cpp:136:AVRoomMultiImpl                         | AVRoomMultiImpl::AVRoomMultiImpl
2016/05/04 11:00:14.234 | E | Thread:6456  | Client  | av_room_multi_impl.cpp:196:tencent::av::AVRoomMultiImpl::Init      | AVRoomMultiImpl::Init()
2016/05/04 11:00:14.234 | E | Thread:6456  | Client  | av_room_multi_impl.cpp:217:tencent::av::AVRoomMultiImpl::Init      | exePath = C:\Users\Administrator\Desktop\AV_WIN_SDK1.7.0\sample\project\win\..\..\bin\Debug\.
2016/05/04 11:00:14.234 | E | Thread:6456  | AVGSDK  | avgenvparam.cpp:47:AVGAPI_SetSDKEnv                                | AVGAPI_SetSDKEnv Uin=144115197360545593, Type=5, Ver=1, DataDir=C:\Users\Administrator\Desktop\AV_WIN_SDK1.7.0\sample\project\win\..\..\bin\Debug\
2016/05/04 11:00:14.249 | E | Thread:6456  | AVGSDK  | avgsession.cpp:25:CAVGSession::CAVGSession                         | CAVGSession::CAVGSession
2016/05/04 11:00:14.249 | E | Thread:6456  | AVGSDK  | avgsession.cpp:90:CAVGSession::Create                              | CreateSession(dwRoomID=0)
2016/05/04 11:00:14.249 | E | Thread:6456  | AVGSDK  | avgroomlogicproxy.cpp:72:CAVGRoomLogicProxy::CAVGRoomLogicProxy    | CAVGRoomLogicProxy::CAVGRoomLogicProxy
2016/05/04 11:00:14.249 | E | Thread:6456  | AVGSDK  | avgroomlogic.cpp:75:CAVGRoomLogic::CAVGRoomLogic                   | CAVGRoomLogic::CAVGRoomLogic
2016/05/04 11:00:14.249 | E | Thread:6456  | AVGSDK  | avgroomlogic.cpp:113:CAVGRoomLogic::Create                         | Create. room id = 0
2016/05/04 11:00:14.249 | E | Thread:6456  | AVGSDK  | avgroomlogic.cpp:134:CAVGRoomLogic::Create                         | udp server 125.39.52.160:8000
2016/05/04 11:00:14.249 | E | Thread:6456  | AVGSDK  | avgroomlogic.cpp:132:CAVGRoomLogic::Create                         | tcp server 125.39.52.160:443
2016/05/04 11:00:14.249 | E | Thread:6456  | AVGSDK  | avgroomlogic.cpp:134:CAVGRoomLogic::Create                         | udp server 125.39.52.162:8000
2016/05/04 11:00:14.249 | E | Thread:6456  | AVGSDK  | avgroomlogic.cpp:132:CAVGRoomLogic::Create                         | tcp server 125.39.52.162:443
2016/05/04 11:00:14.249 | E | Thread:6456  | AVGSDK  | avgroomlogic.cpp:134:CAVGRoomLogic::Create                         | udp server 125.39.52.158:8000
2016/05/04 11:00:14.249 | E | Thread:6456  | AVGSDK  | avgroomlogic.cpp:132:CAVGRoomLogic::Create                         | tcp server 125.39.52.158:443
2016/05/04 11:00:14.249 | E | Thread:6456  | AVGSDK  | avgroomlogic.cpp:134:CAVGRoomLogic::Create                         | udp server 125.39.52.161:8000
2016/05/04 11:00:14.249 | E | Thread:6456  | AVGSDK  | avgroomlogic.cpp:132:CAVGRoomLogic::Create                         | tcp server 125.39.52.161:443
2016/05/04 11:00:14.249 | E | Thread:6456  | AVGSDK  | avgroomlogicproxy.cpp:178:CAVGRoomLogicProxy::Create               | room logic proxy create roomlogic
2016/05/04 11:00:14.811 | E | Thread:6456  | LocalFl | localflowctrl.cpp:239:CSubVideoLocalFlowCtrl                       | Init VideoParams:
